Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
penduduk,3,0,0,0,0,0,-1,resident
suka kebebasan,2,1,0,0,0,0,-0.3333333333,likes freedom
anime,3,0,0,0,0,0,-1,anime
konsumtif,1,1,1,0,0,0,0.6666666667,consumptive
diktator,0,1,1,0,1,0,2.333333333,dictator
nelson mandela,3,0,0,0,0,0,-1,Nelson Mandela
petani,3,0,0,0,0,0,-1,farmer
berpikir kritis,3,0,0,0,0,0,-1,critical thinking
ladang minyak,3,0,0,0,0,0,-1,oil field
pegunungan,2,0,0,0,0,1,-0.6666666667,mountains
pandai bermain catur,3,0,0,0,0,0,-1,good at playing chess
minyak,2,0,0,0,0,1,-0.6666666667,oil
suka anggur,3,0,0,0,0,0,-1,likes wine
revolusioner,3,0,0,0,0,0,-1,revolutionary
suka k-pop,3,0,0,0,0,0,-1,like k-pop
anti-semitis,1,0,0,0,2,0,2.333333333,anti-semitic
ramah tamah,3,0,0,0,0,0,-1,courteus
makanan,3,0,0,0,0,0,-1,food
suka warna,3,0,0,0,0,0,-1,love color
pelari cepat,3,0,0,0,0,0,-1,sprinter
yunani,3,0,0,0,0,0,-1,Greece
suka berpindah-pindah,3,0,0,0,0,0,-1,likes to move around
cinta damai,3,0,0,0,0,0,-1,love peace
kera,3,0,0,0,0,0,-1,monkey
progresif,3,0,0,0,0,0,-1,progressive
tidak suka berdebat,3,0,0,0,0,0,-1,don't like to argue
keras kepala,1,1,0,0,1,0,1.333333333,stubborn
negara pecahan uni soviet,3,0,0,0,0,0,-1,former Soviet Union countries
berbahasa,3,0,0,0,0,0,-1,language
periang,3,0,0,0,0,0,-1,jovial
nomadic,3,0,0,0,0,0,-1,nomadic
mayoritas,3,0,0,0,0,0,-1,majority
suka makan coklat,3,0,0,0,0,0,-1,likes to eat chocolate
negara konflik,1,0,2,0,0,0,1,conflict countries
banyak budaya,3,0,0,0,0,0,-1,many cultures
gemar berdebat,0,2,1,0,0,0,1.333333333,likes to argue
panda,3,0,0,0,0,0,-1,panda
kuda,3,0,0,0,0,0,-1,horse
kepulauan,3,0,0,0,0,0,-1,Island
equatorial guinea,3,0,0,0,0,0,-1,equatorial guinea
nomaden,3,0,0,0,0,0,-1,nomadic
mendominasi,3,0,0,0,0,0,-1,dominate
didominasi,3,0,0,0,0,0,-1,dominated
suka makan laksa,3,0,0,0,0,0,-1,likes to eat laksa
populasi besar,3,0,0,0,0,0,-1,large population
suka manga,3,0,0,0,0,0,-1,like manga
suka bersosialisasi,3,0,0,0,0,0,-1,likes to socialize
konflik,1,1,0,0,1,0,1.333333333,conflict
menyenangkan,3,0,0,0,0,0,-1,pleasant
suka santai,3,0,0,0,0,0,-1,likes to relax
rapi,3,0,0,0,0,0,-1,neat
pecinta kucing,3,0,0,0,0,0,-1,cat lover
anggun,3,0,0,0,0,0,-1,graceful
balkan,2,0,0,0,0,1,-0.6666666667,Balkan
negara besar,3,0,0,0,0,0,-1,big country
bangga,3,0,0,0,0,0,-1,proud
pecinta tequila,1,0,1,1,0,0,1.333333333,tequila lover
menarik,3,0,0,0,0,0,-1,interesting
suka ngaji,3,0,0,0,0,0,-1,likes to read the Koran
suka belanja,3,0,0,0,0,0,-1,likes shopping
sangat teratur,3,0,0,0,0,0,-1,very regular
kasar,0,0,1,1,1,0,3,rough
vodka,1,1,0,1,0,0,1,vodka
narkotika,0,0,1,0,2,0,3.333333333,narcotics
pecinta bir,1,0,0,2,0,0,1.666666667,beer lover
suka berdebat,0,0,3,0,0,0,2,likes to argue
dermawan,3,0,0,0,0,0,-1,philanthrope
suka humor,3,0,0,0,0,0,-1,likes humor
bambu,2,0,0,0,0,1,-0.6666666667,bamboo
jago pencak silat,3,0,0,0,0,0,-1,good at pencak silat
suka rakia,1,0,0,2,0,0,1.666666667,love rakia
turki,2,0,0,0,0,1,-0.6666666667,Türkiye
sushi,2,0,0,0,0,1,-0.6666666667,sushi
padat penduduk,3,0,0,0,0,0,-1,densely populated
islami,3,0,0,0,0,0,-1,Islamic
suku asmat,3,0,0,0,0,0,-1,Asmat tribe
pecinta ski,3,0,0,0,0,0,-1,ski lover
wales,2,0,0,0,0,1,-0.6666666667,Wales
suka makan,3,0,0,0,0,0,-1,like to eat
kekar,3,0,0,0,0,0,-1,sturdy
suka ilmu pengetahuan,3,0,0,0,0,0,-1,likes science
kaya orang kamerun adalah orang yang pemurung. orang australia adalah orang yang cerdas. orang singapura adalah orang yang kaya.,0,2,0,1,0,0,1.666666667,Cameroonian people are gloomy people. Australians are intelligent people. Singaporeans are rich people.
primitif,1,1,1,0,0,0,0.6666666667,primitive
pencuri,0,0,1,0,2,0,3.333333333,thief
berbahasa swahili,3,0,0,0,0,0,-1,speak Swahili
ras,1,2,0,0,0,0,0.3333333333,race
berbahasa slowakia,3,0,0,0,0,0,-1,Slovak language
pecandu kokain,0,0,0,0,3,0,4,cocaine addict
suka makan pizza,3,0,0,0,0,0,-1,likes to eat pizza
suka berpetualang,3,0,0,0,0,0,-1,likes adventure
safari,2,0,0,0,0,1,-0.6666666667,safari
suka ngobrol,3,0,0,0,0,0,-1,likes to chat
nelayan,3,0,0,0,0,0,-1,fisherman
aman,3,0,0,0,0,0,-1,safe
berbahaya,0,0,3,0,0,0,2,dangerous
penuh warna,3,0,0,0,0,0,-1,full color
rasisme,0,0,1,0,2,0,3.333333333,racism
gunung,3,0,0,0,0,0,-1,mountain
suka duku,3,0,0,0,0,0,-1,like duku
toraja,3,0,0,0,0,0,-1,Toraja
adidaya,3,0,0,0,0,0,-1,superpower
banyak makan nasi,3,0,0,0,0,0,-1,eat a lot of rice
taat hukum,3,0,0,0,0,0,-1,law-abiding
suka meditasi,3,0,0,0,0,0,-1,likes meditation
suka keributan,0,1,1,0,1,0,2.333333333,likes fuss
pemain sepak bola,3,0,0,0,0,0,-1,soccer player
pedagang,3,0,0,0,0,0,-1,trader
penyabar,3,0,0,0,0,0,-1,patient
tekun,3,0,0,0,0,0,-1,persistent
senang,3,0,0,0,0,0,-1,like
irlandia,2,0,0,0,0,1,-0.6666666667,Ireland
cinta tanah air,3,0,0,0,0,0,-1,love for the homeland
pandai menyelam,3,0,0,0,0,0,-1,good at diving
suka kungfu,3,0,0,0,0,0,-1,like kung fu
bersuara keras,1,1,1,0,0,0,0.6666666667,loud
tembok besar,2,0,0,0,0,1,-0.6666666667,Great Wall
mendiami,3,0,0,0,0,0,-1,inhabit
masakan pedas,2,0,0,0,0,1,-0.6666666667,spicy dishes
katolik,3,0,0,0,0,0,-1,Catholic
taj mahal,2,0,0,0,0,1,-0.6666666667,Taj Mahal
suka bergotong royong,3,0,0,0,0,0,-1,like to work together
ratu,3,0,0,0,0,0,-1,queen
multi etnis,2,1,0,0,0,0,-0.3333333333,multi-ethnic
santa,3,0,0,0,0,0,-1,santa
emosional,0,1,1,0,1,0,2.333333333,emotional
berpenampilan eksotis,3,0,0,0,0,0,-1,exotic appearance
filosofi,2,0,0,0,0,1,-0.6666666667,philosophy
samba,2,0,0,0,0,1,-0.6666666667,samba
minum teh,3,0,0,0,0,0,-1,drinking tea
ramah,3,0,0,0,0,0,-1,friendly
isolated,1,1,1,0,0,0,0.6666666667,isolated
pecinta whisky,1,0,0,2,0,0,1.666666667,whiskey lover
suka borsch,3,0,0,0,0,0,-1,loves borsch
rajin,3,0,0,0,0,0,-1,diligent
gemar berenang,3,0,0,0,0,0,-1,likes swimming
pandai bahasa,3,0,0,0,0,0,-1,good at languages
pandai berbahasa,3,0,0,0,0,0,-1,good at language
kaya minyak,3,0,0,0,0,0,-1,rich in oil
penganut kristen,1,1,1,0,0,0,0.6666666667,Christian adherents
hot,0,1,1,0,0,1,1,hot
panama canal,2,0,0,0,0,1,-0.6666666667,panama canal
berpikiran bebas,3,0,0,0,0,0,-1,free thinking
makan pasta,3,0,0,0,0,0,-1,eat pasta
pandai melaut,3,0,0,0,0,0,-1,good at sea
perang,1,0,0,0,2,0,2.333333333,war
suka berpikir,3,0,0,0,0,0,-1,likes to think
agama yahudi,1,2,0,0,0,0,0.3333333333,Judaism
pecinta pizza,3,0,0,0,0,0,-1,pizza lover
pembawa barang,2,0,1,0,0,0,0,goods carrier
inovatif,3,0,0,0,0,0,-1,innovative
liburan,3,0,0,0,0,0,-1,holiday
budaya pop,3,0,0,0,0,0,-1,pop culture
suka parfum,3,0,0,0,0,0,-1,love perfume
pecinta laut,3,0,0,0,0,0,-1,sea ​​lover
bahasa resmi,3,0,0,0,0,0,-1,Official Language
baik,3,0,0,0,0,0,-1,Good
cantik,3,0,0,0,0,0,-1,Beautiful
gigi besar,1,2,0,0,0,0,0.3333333333,big teeth
suka makan pisang,3,0,0,0,0,0,-1,likes to eat bananas
kulit hitam,0,1,0,1,1,0,2.666666667,black skin
kekeluargaan,3,0,0,0,0,0,-1,kinship
agresif,0,2,1,0,0,0,1.333333333,aggressive
narkoba,1,0,0,0,2,0,2.333333333,drugs
kanal,3,0,0,0,0,0,-1,channel
korupsi,0,1,0,0,2,0,3,corruption
teliti,3,0,0,0,0,0,-1,thorough
suka makan talas,3,0,0,0,0,0,-1,likes to eat taro
tenang,3,0,0,0,0,0,-1,calm
cinta keluarga,3,0,0,0,0,0,-1,love the family
berdarah biru,3,0,0,0,0,0,-1,blue blood
berbicara bahasa arab,3,0,0,0,0,0,-1,speak Arabic
pandai memanjat,3,0,0,0,0,0,-1,good at climbing
halus,3,0,0,0,0,0,-1,fine
wilayah,3,0,0,0,0,0,-1,region
pedalaman,3,0,0,0,0,0,-1,inland
suka makan papeda,3,0,0,0,0,0,-1,likes to eat papeda
santai,3,0,0,0,0,0,-1,Relax
makan durian,3,0,0,0,0,0,-1,eat durian
kaya,3,0,0,0,0,0,-1,rich
cinta laut,3,0,0,0,0,0,-1,love the sea
suka belajar,3,0,0,0,0,0,-1,likes to learn
negara yahudi,0,0,2,0,1,0,2.666666667,Jewish country
ceria,3,0,0,0,0,0,-1,cheerful
suka anime,3,0,0,0,0,0,-1,like anime
berbakat,3,0,0,0,0,0,-1,talented
komunis,0,0,1,1,1,0,3,Communist
damai,3,0,0,0,0,0,-1,peace
bijaksana,3,0,0,0,0,0,-1,wise
mean,1,0,0,0,1,1,1,mean
sopan,3,0,0,0,0,0,-1,polite
amerika selatan,2,0,0,0,0,1,-0.6666666667,South America
mabuk,0,1,1,1,0,0,2,drunk
totaliter,2,0,0,0,1,0,0.6666666667,totalitarian
suka surfing,3,0,0,0,0,0,-1,likes surfing
disiplin,3,0,0,0,0,0,-1,discipline
penakluk,3,0,0,0,0,0,-1,conqueror
berbahasa bantu,3,0,0,0,0,0,-1,auxiliary language
sombong,0,1,0,1,1,0,2.666666667,proud
energik,3,0,0,0,0,0,-1,energetic
asli,3,0,0,0,0,0,-1,original
gajah,2,0,0,0,0,1,-0.6666666667,elephant
ekspresif,3,0,0,0,0,0,-1,expressive
suku batak,2,1,0,0,0,0,-0.3333333333,Batak tribe
modern,3,0,0,0,0,0,-1,modern
berbahasa bugis,3,0,0,0,0,0,-1,speak Bugis
bernyanyi,3,0,0,0,0,0,-1,sing
suka musik,3,0,0,0,0,0,-1,like music
sosialis,3,0,0,0,0,0,-1,socialist
negara termuda,3,0,0,0,0,0,-1,youngest country
cerdik,3,0,0,0,0,0,-1,dodgy
sari,2,0,0,0,0,1,-0.6666666667,sari
cinta makanan,3,0,0,0,0,0,-1,love food
suka tango,3,0,0,0,0,0,-1,likes tango
pandai membuat piramida,3,0,0,0,0,0,-1,good at making pyramids
suka mie,3,0,0,0,0,0,-1,like noodles
suka bersenang-senang,3,0,0,0,0,0,-1,likes to have fun
terkenal dengan makanan pedas,3,0,0,0,0,0,-1,famous for spicy food
pemakan ikan,3,0,0,0,0,0,-1,fish eater
skandinavia,2,0,0,0,0,1,-0.6666666667,Scandinavian
portugis,2,0,0,0,0,1,-0.6666666667,Portuguese
arab,2,0,0,0,0,1,-0.6666666667,Arab
suka teknologi,3,0,0,0,0,0,-1,love technology
rendah hati,3,0,0,0,0,0,-1,humble
berbahasa indonesia,3,0,0,0,0,0,-1,speak Indonesian
tongkonan,2,0,0,0,0,1,-0.6666666667,tongkonan
kreatif,3,0,0,0,0,0,-1,creative
suka makan hamburger,3,0,0,0,0,0,-1,likes to eat hamburgers
suku minangkabau,3,0,0,0,0,0,-1,Minangkabau tribe
tertib,3,0,0,0,0,0,-1,orderly
suka makan pecel,3,0,0,0,0,0,-1,likes to eat pecel
belanda,2,0,0,0,0,1,-0.6666666667,Dutch
kumuh,1,1,1,0,0,0,0.6666666667,seedy
tarantula,2,0,0,0,0,1,-0.6666666667,tarantula
suka fashion,3,0,0,0,0,0,-1,likes fashion
suka bercinta,2,0,0,0,1,0,0.6666666667,likes to make love
efisien,3,0,0,0,0,0,-1,efficient
panas,3,0,0,0,0,0,-1,hot
suka menari,3,0,0,0,0,0,-1,likes to dance
boros,1,2,0,0,0,0,0.3333333333,wasteful
bahagia,3,0,0,0,0,0,-1,happy
kejam,0,0,1,1,1,0,3,cruel
berbahasa hindi,3,0,0,0,0,0,-1,Hindi language
suka borscht,3,0,0,0,0,0,-1,loves borscht
suka main api,1,2,0,0,0,0,0.3333333333,likes playing with fire
andes,2,0,0,0,0,1,-0.6666666667,andes
majemuk,3,0,0,0,0,0,-1,compound
gigih,3,0,0,0,0,0,-1,persistent
suku,2,1,0,0,0,0,-0.3333333333,ethnic group
cinta seni,3,0,0,0,0,0,-1,love art
suka makan sushi,3,0,0,0,0,0,-1,likes to eat sushi
buddha,3,0,0,0,0,0,-1,buddha
bahasa inggris,3,0,0,0,0,0,-1,English
rich,3,0,0,0,0,0,-1,rich
pandai berburu,3,0,0,0,0,0,-1,good at hunting
memiliki banyak penduduk,3,0,0,0,0,0,-1,has many residents
multietnis,2,1,0,0,0,0,-0.3333333333,multiethnic
terkenal dengan budayanya,3,0,0,0,0,0,-1,famous for its culture
indah,3,0,0,0,0,0,-1,beautiful
jago menyelam,3,0,0,0,0,0,-1,good at diving
sepak bola,3,0,0,0,0,0,-1,football
otoriter,1,0,1,0,1,0,1.666666667,authoritarian
hindu,3,0,0,0,0,0,-1,Hindu
berbahasa inggris,3,0,0,0,0,0,-1,in English language
berbahasa dayak,3,0,0,0,0,0,-1,Dayak language
negara islam,3,0,0,0,0,0,-1,Islam country
beragama kristen,1,2,0,0,0,0,0.3333333333,Christian
guru,3,0,0,0,0,0,-1,Teacher
terkenal dengan tango,3,0,0,0,0,0,-1,famous for tango
suka minum,1,1,0,1,0,0,1,likes to drink
berdagang,3,0,0,0,0,0,-1,trade
lugas,3,0,0,0,0,0,-1,straightforward
laut,3,0,0,0,0,0,-1,sea
terkenal dengan makanan kari,3,0,0,0,0,0,-1,famous for curry food
kulit sawo matang,2,1,0,0,0,0,-0.3333333333,Brown skin
peminum tuak,0,0,1,2,0,0,2.666666667,palm wine drinker
suka makan duku,3,0,0,0,0,0,-1,likes to eat duku
praktis,3,0,0,0,0,0,-1,practical
