Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
متدين,3,0,0,0,0,0,-1,Religious
المجتهدين,3,0,0,0,0,0,-1,The hardworking ones
المتنقلون,3,0,0,0,0,0,-1,Mobile people
رياضي,3,0,0,0,0,0,-1,Athlete
يرتدون العباءة,1,1,1,0,0,0,0.6666666667,They wear an abaya
المهتمون بالنباتات,3,0,0,0,0,0,-1,Those interested in plants
غامض,2,1,0,0,0,0,-0.3333333333,mysterious
متحكم في نفسه,3,0,0,0,0,0,-1,Self-controlled
الكسالى,0,1,1,1,0,0,2,Zombies
يتحدث العربية,2,0,0,0,1,0,0.6666666667,speaks Arabic
طيبان,3,0,0,0,0,0,-1,Tayban
ناجحين,3,0,0,0,0,0,-1,We are successful
رأس الخيمة,2,0,0,0,1,0,0.6666666667,Ras Al Khaimah
العنيف,0,1,0,1,1,0,2.666666667,Violent
غير متعلمين,0,1,0,1,1,0,2.666666667,uneducated
القوي,3,0,0,0,0,0,-1,The strong one
رقاصون,0,0,1,2,0,0,2.666666667,Dancers
الذين يعانون من الصراع,2,1,0,0,0,0,-0.3333333333,Those experiencing conflict
عربي,2,0,0,0,1,0,0.6666666667,Arab
عسكري,2,0,1,0,0,0,0,military
ناطق بالبرتغالية,2,0,0,0,1,0,0.6666666667,Portuguese speaker
الكاثوليك,2,0,0,0,1,0,0.6666666667,Catholics
المغني,2,0,0,1,0,0,0.3333333333,the singer
الغزاة,0,2,0,0,1,0,2,Invaders
شرب,3,0,0,0,0,0,-1,drink
متشدد,0,1,1,0,1,0,2.333333333,extremist
التكنولوجيا المتقدمة,3,0,0,0,0,0,-1,Advanced technology
ثراء,3,0,0,0,0,0,-1,Richness
العطوف,3,0,0,0,0,0,-1,Compassionate
الشجاعة,3,0,0,0,0,0,-1,Courage
علماء النبات,3,0,0,0,0,0,-1,Botanists
فظاظة,0,0,0,3,0,0,3,Rudeness
سعيد,3,0,0,0,0,0,-1,happy
عازف كمان,3,0,0,0,0,0,-1,Violinist
وطني,3,0,0,0,0,0,-1,National
يحب القطط,3,0,0,0,0,0,-1,He loves cats
يشربون الشاي,3,0,0,0,0,0,-1,They drink tea
قصير القامة,0,1,1,1,0,0,2,short
كرنفال,3,0,0,0,0,0,-1,Carnival
متخلفون,0,0,0,1,2,0,3.666666667,Retarded
المتحكمون في أنفسهم,3,0,0,0,0,0,-1,Those who control themselves
الشمولية,3,0,0,0,0,0,-1,Holism
القبائل,2,0,0,1,0,0,0.3333333333,tribes
مثقفون,3,0,0,0,0,0,-1,Intellectuals
إسلاميون,2,0,0,0,1,0,0.6666666667,Islamists
بدوي,2,0,0,0,1,0,0.6666666667,Bedouin
مخلص,3,0,0,0,0,0,-1,sincere
يتحدث العبرية,2,0,0,0,1,0,0.6666666667,He speaks Hebrew
الملوك,3,0,0,0,0,0,-1,Kings
متفجرات,1,0,1,0,1,0,1.666666667,explosives
كريمان,3,0,0,0,0,0,-1,Kariman
أذكياء,3,0,0,0,0,0,-1,Smart
أكشن,3,0,0,0,0,0,-1,action
جريء,2,1,0,0,0,0,-0.3333333333,bold
كسولة,0,1,0,2,0,0,2.333333333,Lazy
المتعلم,3,0,0,0,0,0,-1,Learner
وداعة,3,0,0,0,0,0,-1,meekness
حمضيات,2,1,0,0,0,0,-0.3333333333,Citrus
المتسامحة,3,0,0,0,0,0,-1,Tolerant
اللطيف,3,0,0,0,0,0,-1,The gentle one
نبات,3,0,0,0,0,0,-1,plants
مقاومون,2,0,1,0,0,0,0,Resistors
مرحين,3,0,0,0,0,0,-1,Have fun
ودودون,3,0,0,0,0,0,-1,Friendly
مهاجم,1,0,0,1,1,0,2,attacker
محبو الرياضة,3,0,0,0,0,0,-1,Sports lovers
كوكايين,0,0,0,1,2,0,3.666666667,cocaine
متحفظون,2,1,0,0,0,0,-0.3333333333,Discreet
الجادون,3,0,0,0,0,0,-1,Serious ones
الأوفياء,3,0,0,0,0,0,-1,Loyal people
يحب ركوب الخيل,3,0,0,0,0,0,-1,He loves horse riding
يتحدثون الإنكليزية,2,0,0,1,0,0,0.3333333333,They speak English
مجرم,0,0,0,0,3,0,4,criminal
يهود,1,1,0,0,1,0,1.333333333,Jewish
الخبراء,3,0,0,0,0,0,-1,Experts
مشهور,3,0,0,0,0,0,-1,Famous
إماراتيون,2,0,0,0,1,0,0.6666666667,Emiratis
السخيفون,0,0,2,1,0,0,2.333333333,The silly ones
غريب,1,1,1,0,0,0,0.6666666667,strange
غني بالموارد الطبيعية,3,0,0,0,0,0,-1,Rich in natural resources
لاجئ,0,1,1,1,0,0,2,Refugee
ثلجي,2,0,1,0,0,0,0,Snowy
متوحش,0,0,0,1,2,0,3.666666667,savage
الكرم,3,0,0,0,0,0,-1,The vineyard
المحاربة,3,0,0,0,0,0,-1,Fighting
مصري,2,0,0,0,1,0,0.6666666667,Egypt
أبيض,1,1,0,0,1,0,1.333333333,white
مكرم,3,0,0,0,0,0,-1,Honored
يحب الطعام,2,1,0,0,0,0,-0.3333333333,He loves food
خطير,1,1,0,1,0,0,1,dangerous
محافظين,2,1,0,0,0,0,-0.3333333333,Conservatives
متعاونون,3,0,0,0,0,0,-1,Collaborators
الاستوائي,2,0,1,0,0,0,0,Tropical
متقلب المزاج,1,1,0,1,0,0,1,Moody
عاطفيين,3,0,0,0,0,0,-1,Emotional people
متمسكين بتقاليدهم,3,0,0,0,0,0,-1,Adhering to their traditions
أكثر تقليدية,2,1,0,0,0,0,-0.3333333333,More traditional
الفجيرة,2,0,0,0,1,0,0.6666666667,Fujairah
حضارة,3,0,0,0,0,0,-1,civilization
ثروة النفط,2,0,0,1,0,0,0.3333333333,Oil wealth
النباتيون,2,0,1,0,0,0,0,Vegetarians
عاطفيون,3,0,0,0,0,0,-1,Emotionalists
مرحون,3,0,0,0,0,0,-1,Fun
المحافظون,2,1,0,0,0,0,-0.3333333333,Conservatives
عصبية,1,1,0,1,0,0,1,Nervous
حرية,3,0,0,0,0,0,-1,freedom
قصير الشعر,2,0,1,0,0,0,0,Short hair
يحب الطيران,3,0,0,0,0,0,-1,He loves to fly
منظمون,3,0,0,0,0,0,-1,Organizers
محبي التسوق,3,0,0,0,0,0,-1,Shopaholics
لطيفات,3,0,0,0,0,0,-1,Nice ones
مدمن على الكحول,0,0,0,3,0,0,3,Alcoholic
متسلقو الجبال,3,0,0,0,0,0,-1,Mountain climbers
متشددون,0,1,1,0,1,0,2.333333333,Hardliners
المبدعون,3,0,0,0,0,0,-1,Creative people
محبو صيد السمك,3,0,0,0,0,0,-1,Fishing lovers
يعمل بجد,3,0,0,0,0,0,-1,he works hard
#ERROR!,3,0,0,0,0,0,-1,#ERROR!
الراقصون,0,2,0,1,0,0,1.666666667,Dancers
إسلامي,2,0,0,0,1,0,0.6666666667,Islami
فخورون,3,0,0,0,0,0,-1,Proud
موثوق,3,0,0,0,0,0,-1,trusted
يحب الخيل,3,0,0,0,0,0,-1,He loves horses
جميلة,3,0,0,0,0,0,-1,beautiful
المسيطرون على أنفسهم,3,0,0,0,0,0,-1,Those who are in control of themselves
يحب التزلج,3,0,0,0,0,0,-1,He loves skating
ثوريين,2,0,1,0,0,0,0,Revolutionaries
الذين يعانون من الفقر,1,0,1,1,0,0,1.333333333,Those who suffer from poverty
يحب الطبيعة,3,0,0,0,0,0,-1,He loves nature
قطط,3,0,0,0,0,0,-1,Cats
ثقافة,3,0,0,0,0,0,-1,culture
الأكثر فقراً,1,0,1,1,0,0,1.333333333,the poorest
طعام,3,0,0,0,0,0,-1,food
عالم نبات,3,0,0,0,0,0,-1,Botanist
بدو,2,0,0,0,1,0,0.6666666667,Bedouin
محبون للعائلة,3,0,0,0,0,0,-1,Family loving
إيطالي,1,1,0,0,1,0,1.333333333,Italian
يقودون سيارات فاخرة,3,0,0,0,0,0,-1,They drive luxury cars
مهتمون بالرياضة,3,0,0,0,0,0,-1,Interested in sports
عصبي,0,1,2,0,0,0,1.666666667,Neural
الشعراء,3,0,0,0,0,0,-1,Poets
الصبر,3,0,0,0,0,0,-1,patience
محب للسلام,3,0,0,0,0,0,-1,Peace loving
الجوعى,1,0,1,1,0,0,1.333333333,The hungry
الإرهابيون,0,0,0,0,3,0,4,Terrorists
صعبة الإرضاء,0,2,1,0,0,0,1.333333333,Picky
المحبين للحياة,3,0,0,0,0,0,-1,Lovers of life
"""يرتدون ملابس رسمية",3,0,0,0,0,0,-1,“They wear formal clothes
المجتهد,3,0,0,0,0,0,-1,Hardworking
مضحكات,3,0,0,0,0,0,-1,Funny ones
محب للحيوانات,3,0,0,0,0,0,-1,Animal lover
محبون للماء,3,0,0,0,0,0,-1,Water lovers
يرتدون kilts,1,0,0,1,0,1,0.6666666667,They wear kilts
غير متسامح,0,1,1,1,0,0,2,Uncharitable
رياضيون,3,0,0,0,0,0,-1,Athletes
طويل القامة,2,0,0,1,0,0,0.3333333333,Tall
مباشر,3,0,0,0,0,0,-1,direct
ذكور,2,0,0,0,1,0,0.6666666667,Males
دقة,3,0,0,0,0,0,-1,Accuracy
ثريّون,3,0,0,0,0,0,-1,Wealthy people
المتعلمون,3,0,0,0,0,0,-1,Learners
الأنيقة,3,0,0,0,0,0,-1,Elegant
الشجعان,3,0,0,0,0,0,-1,Brave
ثوري,3,0,0,0,0,0,-1,revolutionary
أغنياء,3,0,0,0,0,0,-1,Rich people
المبدعين,3,0,0,0,0,0,-1,Creative people
ذكيات,3,0,0,0,0,0,-1,Smart ones
يرتدي  kilt,1,0,0,1,0,1,0.6666666667,Wearing a kilt
مؤمن,2,0,1,0,0,0,0,Believer
قمع,0,1,0,1,1,0,2.666666667,respression
غريب الأطوار,1,0,1,1,0,0,1.333333333,eccentric
يتحدثون لغة المالديفية,2,0,0,0,1,0,0.6666666667,They speak the Maldivian language
الغنيين,3,0,0,0,0,0,-1,The rich
ثري,3,0,0,0,0,0,-1,rich
قوية,3,0,0,0,0,0,-1,Strong
المجتهدون,3,0,0,0,0,0,-1,The hardworking ones
الظرفاء,3,0,0,0,0,0,-1,The cute ones
كرمهم,3,0,0,0,0,0,-1,Their generosity
رجعيين,0,0,0,3,0,0,3,Reactionaries
محب للحرة,3,0,0,0,0,0,-1,Free lover
ثرثارين,0,1,1,1,0,0,2,Talkative
شرير,0,0,0,3,0,0,3,evil
ناطقون باللغة الفارسية,2,0,0,0,1,0,0.6666666667,Persian speakers
سريع,3,0,0,0,0,0,-1,fast
ضحايا الإبادة الجماعية,2,0,0,0,1,0,0.6666666667,Victims of genocide
الشعر الطويل,3,0,0,0,0,0,-1,long hair
طعام لذيذ,3,0,0,0,0,0,-1,delicious Food
العاطفي,2,1,0,0,0,0,-0.3333333333,Emotional
مهذبون,3,0,0,0,0,0,-1,Polite
ذوي الأخلاق الفاضلة,3,0,0,0,0,0,-1,People with good morals
حلوى,2,1,0,0,0,0,-0.3333333333,sweet
يرتدي عباءة,1,1,0,1,0,0,1,He wears a cloak
سكوتش,1,0,0,1,0,1,0.6666666667,Scotch
المنظمون,3,0,0,0,0,0,-1,Organizers
سلبيون,0,1,0,2,0,0,2.333333333,Negative people
السعيد,3,0,0,0,0,0,-1,Happy
أصحاب الأموال,3,0,0,0,0,0,-1,Money owners
يتحدثون العربية,2,0,0,0,1,0,0.6666666667,They speak Arabic
سائق,2,0,1,0,0,0,0,driver
عاصمة,3,0,0,0,0,0,-1,capital
كرم,3,0,0,0,0,0,-1,Vineyard
المصارعة,2,1,0,0,0,0,-0.3333333333,Wrestling
وحشيون,0,0,0,1,2,0,3.666666667,They are brutal
متحررون,2,1,0,0,0,0,-0.3333333333,Liberals
حيوانات,0,0,0,1,2,0,3.666666667,animals
المحبون للطعام,2,1,0,0,0,0,-0.3333333333,Food lovers
المسلمون,2,0,0,0,1,0,0.6666666667,Muslims
طيب القلب,3,0,0,0,0,0,-1,Good heart
حزينون,1,1,1,0,0,0,0.6666666667,They are sad
جبال الألب,3,0,0,0,0,0,-1,Alps
السكان الأصليون,3,0,0,0,0,0,-1,Indigenous people
متواضع,3,0,0,0,0,0,-1,modest
التقدمية,3,0,0,0,0,0,-1,Progressive
الأنيقين,3,0,0,0,0,0,-1,The elegant ones
خليجيون,2,0,0,0,1,0,0.6666666667,Gulf people
الطيران,3,0,0,0,0,0,-1,Aviation
ذكية,3,0,0,0,0,0,-1,Smart
الطيبة,3,0,0,0,0,0,-1,Kindness
أنيق,3,0,0,0,0,0,-1,elegant
مبدع,3,0,0,0,0,0,-1,creative
زعيم,3,0,0,0,0,0,-1,Leader
مقاومة,2,0,1,0,0,0,0,resistance
كرم الضيافة,3,0,0,0,0,0,-1,Hospitality
المرحون,3,0,0,0,0,0,-1,The fun ones
الكنديين,2,0,0,0,1,0,0.6666666667,Canadians
المحاربين,3,0,0,0,0,0,-1,Warriors
الجميلة,3,0,0,0,0,0,-1,the beautiful
العلماء,3,0,0,0,0,0,-1,Scientists
لغة,3,0,0,0,0,0,-1,language
موسيقي,3,0,0,0,0,0,-1,music
يرتدي ملابس تقليدية,2,1,0,0,0,0,-0.3333333333,He wears traditional clothes
محترم,3,0,0,0,0,0,-1,Respectable
السكان الأصليين,3,0,0,0,0,0,-1,the original people
نحيفون,1,0,2,0,0,0,1,They are skinny
يحب السباحة,3,0,0,0,0,0,-1,He loves swimming
يحبون الأكل,1,2,0,0,0,0,0.3333333333,They love to eat
ديكتاتور,0,0,0,1,2,0,3.666666667,dictator
#ERROR!,3,0,0,0,0,0,-1,#ERROR!
موسيقى السالسا,3,0,0,0,0,0,-1,Salsa music
هادئون,3,0,0,0,0,0,-1,They are calm
متعلمون,3,0,0,0,0,0,-1,Educated people
الدقة,3,0,0,0,0,0,-1,Precision
متسلق جبال,3,0,0,0,0,0,-1,Mountain climber
الشرقيون,2,0,0,0,1,0,0.6666666667,Orientals
رماية,3,0,0,0,0,0,-1,shooting
1يجيدون الجري لمسافات طويلة,3,0,0,0,0,0,-1,1They are good at running long distances
المتشددون,0,0,1,1,1,0,3,Puritans
غنية,3,0,0,0,0,0,-1,Rich
علم النبات,3,0,0,0,0,0,-1,Botany
تقليديون,3,0,0,0,0,0,-1,Traditionalists
ساحل العاج,2,0,0,1,0,0,0.3333333333,Cote d'Ivoire
رومانسي,3,0,0,0,0,0,-1,romantic
فنانون,3,0,0,0,0,0,-1,Artists
الخطرين,0,1,1,0,1,0,2.333333333,The two dangerous ones
يحب أكل الأرز,1,2,0,0,0,0,0.3333333333,He likes to eat rice
مهتمون بالتراث,3,0,0,0,0,0,-1,Interested in heritage
حذرون,3,0,0,0,0,0,-1,Be careful
الغني,3,0,0,0,0,0,-1,the rich
يوناني,2,0,0,0,1,0,0.6666666667,Greek
غزاة,0,0,1,0,2,0,3.333333333,Raiders
محب للوطن,3,0,0,0,0,0,-1,Patriotic lover
استبدادي,0,0,0,1,2,0,3.666666667,tyrannical
البحار,3,0,0,0,0,0,-1,Seas
مهرة,3,0,0,0,0,0,-1,Filly
طائر,3,0,0,0,0,0,-1,bird
عاطفية,2,1,0,0,0,0,-0.3333333333,Emotional
متدينون,2,0,0,1,0,0,0.3333333333,Religious people
يأكلون الكثير,0,1,2,0,0,0,1.666666667,They eat a lot
قهوة,3,0,0,0,0,0,-1,coffee
المخدرات,0,0,0,1,2,0,3.666666667,Drugs
ثوريون,2,0,1,0,0,0,0,Revolutionaries
متعطشون للحرب,0,0,0,1,2,0,3.666666667,Thirsty for war
مثير,2,0,0,1,0,0,0.3333333333,arousing
يقاتلون,1,1,0,0,1,0,1.333333333,They fight
الوطني,3,0,0,0,0,0,-1,the National
الجشعين,0,0,1,2,0,0,2.666666667,Greedy people
اليوناني,2,0,0,0,1,0,0.6666666667,Greek
الملتزمون,3,0,0,0,0,0,-1,Committed people
مُحب للسلام,3,0,0,0,0,0,-1,Peace loving
كريمون,3,0,0,0,0,0,-1,Cremon
طيبون القلب,3,0,0,0,0,0,-1,They are kind-hearted
جنائي,2,0,0,0,1,0,0.6666666667,criminal
محبون للصيد,3,0,0,0,0,0,-1,They love fishing
يجيدون رياضة الرماية,3,0,0,0,0,0,-1,They are good at shooting
مفكرون,3,0,0,0,0,0,-1,Thinkers
التجار,3,0,0,0,0,0,-1,Merchants
عنيفون,0,0,1,1,1,0,3,They are violent
مسلمين,2,0,0,0,1,0,0.6666666667,Muslims
الرقص,2,0,1,0,0,0,0,Dance
محبون للضيافة,3,0,0,0,0,0,-1,Hospitality lovers
يرعى الماشية,2,0,0,1,0,0,0.3333333333,He grazes livestock
الأنانيون,0,1,0,2,0,0,2.333333333,Egoists
الأستراليون,2,0,0,0,1,0,0.6666666667,Australians
وحيد,1,2,0,0,0,0,0.3333333333,Single
كرام,3,0,0,0,0,0,-1,Honorable
محبون للرقص,1,1,1,0,0,0,0.6666666667,Dancing lovers
يتكلمون العربية,2,0,0,0,1,0,0.6666666667,They speak Arabic
العملية,2,1,0,0,0,0,-0.3333333333,the operation
الانطوائيون,1,1,1,0,0,0,0.6666666667,Introverts
الدبلوماسيون,3,0,0,0,0,0,-1,Diplomats
مسلمون,2,0,0,0,1,0,0.6666666667,Muslims
العمليين,3,0,0,0,0,0,-1,Practical people
فقير,1,0,1,1,0,0,1.333333333,poor
يجيدون التزلج,3,0,0,0,0,0,-1,They are good at skating
دقيقة,3,0,0,0,0,0,-1,minute
عدواني,0,0,1,1,1,0,3,aggressive
يعملون بجد,3,0,0,0,0,0,-1,They work hard
طيب,3,0,0,0,0,0,-1,good
الشرب,2,0,1,0,0,0,0,Drinking
الصيادين,3,0,0,0,0,0,-1,Hunters
المضيفون,3,0,0,0,0,0,-1,Hosts
متوحشون,0,0,0,1,2,0,3.666666667,Savages
محبون للطبيعة,3,0,0,0,0,0,-1,Nature lovers
الأنانية,0,1,0,2,0,0,2.333333333,Selfishness
النباتيين,2,1,0,0,0,0,-0.3333333333,Vegetarians
مرح,3,0,0,0,0,0,-1,cheerful
مضيفات,3,0,0,0,0,0,-1,flight attendant
بارد,1,0,2,0,0,0,1,cold
السخيون,3,0,0,0,0,0,-1,The generous ones
محبون للحيوانات,3,0,0,0,0,0,-1,Animal lovers
جبال,3,0,0,0,0,0,-1,mountains
يأكل البشر,0,0,0,0,3,0,4,Eats humans
المميزين,3,0,0,0,0,0,-1,Distinguished people
أهل البحر,3,0,0,0,0,0,-1,People of the sea
البدو,2,0,0,0,1,0,0.6666666667,Bedouins
المتكبر,0,0,0,3,0,0,3,Arrogant
علماء,3,0,0,0,0,0,-1,Scholars
قصير,1,0,1,1,0,0,1.333333333,short
المتحفظة,1,2,0,0,0,0,0.3333333333,Conservative
محايد,3,0,0,0,0,0,-1,neutral
صعب الفهم,1,2,0,0,0,0,0.3333333333,hard to understand
الحرب الأهلية,1,0,0,1,1,0,2,Civil war
مناضل,3,0,0,0,0,0,-1,fighter
الجري,3,0,0,0,0,0,-1,Running
أهل الكرم,3,0,0,0,0,0,-1,Generous people
1الشجعان أهل عجمان، الشجعان,3,0,0,0,0,0,-1,"1The brave people of Ajman, the brave ones"
العنيفون,0,0,0,2,1,0,3.333333333,The violent ones
فنانين,3,0,0,0,0,0,-1,Artists
محترمون,3,0,0,0,0,0,-1,Respected
يحب الموز,3,0,0,0,0,0,-1,He loves bananas
نباتات,3,0,0,0,0,0,-1,plants
طواحين الهواء,3,0,0,0,0,0,-1,Windmills
مضيافون,3,0,0,0,0,0,-1,Hospitable
يدرس النباتات,3,0,0,0,0,0,-1,He studies plants
محبو الضحك,3,0,0,0,0,0,-1,Laughter lovers
الخطيرون,0,1,1,0,1,0,2.333333333,The dangerous ones
الأذكياء,3,0,0,0,0,0,-1,Smart people
محبين للخيول,3,0,0,0,0,0,-1,Horse lovers
ضحايا القنابل,2,0,0,0,1,0,0.6666666667,Bomb victims
لاجئون,0,2,0,0,1,0,2,Refugees
جيش,3,0,0,0,0,0,-1,army
جيد في القتال,3,0,0,0,0,0,-1,Good at fighting
الصارمة,1,2,0,0,0,0,0.3333333333,Strict
ثريون،,3,0,0,0,0,0,-1,"threon,"
كرة قدم,3,0,0,0,0,0,-1,soccer
دافئة,3,0,0,0,0,0,-1,Warm
يهودي,1,1,0,0,1,0,1.333333333,Jewish
الأثرياء,3,0,0,0,0,0,-1,Wealthy people
فظ,0,0,0,3,0,0,3,rude
بخيلون,0,0,1,1,1,0,3,They are stingy
لطيف,3,0,0,0,0,0,-1,Nice
موسيقى جافا,2,0,0,0,0,1,-0.6666666667,java music
كرم ضيافة,3,0,0,0,0,0,-1,Hospitality
علمي,3,0,0,0,0,0,-1,scientific
الحضارة,3,0,0,0,0,0,-1,Civilization
مخلصون,3,0,0,0,0,0,-1,Loyal
القوميين,2,0,0,0,0,1,-0.6666666667,Nationalists
محبون للقطط,3,0,0,0,0,0,-1,Cat lovers
ذكاء,3,0,0,0,0,0,-1,Intelligence
المهذبون,3,0,0,0,0,0,-1,Polite people
المنظمين,3,0,0,0,0,0,-1,Organizers
التقدميين,3,0,0,0,0,0,-1,Progressives
مستقل,3,0,0,0,0,0,-1,independent
القصيرون,0,2,0,1,0,0,1.666666667,The short ones
غامضون,2,1,0,0,0,0,-0.3333333333,They are mysterious
البحريين,3,0,0,0,0,0,-1,Bahrainis
يحب البخور,3,0,0,0,0,0,-1,He loves incense
غريبة,1,0,2,0,0,0,1,Strange
منضبط ذاتيًا,3,0,0,0,0,0,-1,Self-disciplined
المتهورون,0,1,1,1,0,0,2,Reckless people
يحب شرب الشاي,3,0,0,0,0,0,-1,He likes to drink tea
دقيق,3,0,0,0,0,0,-1,precise
