Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
hablan guaraní,3,0,0,0,0,0,-1,they speak guaraní
activas,3,0,0,0,0,0,-1,active
independentista,0,1,1,1,0,0,2,independentist
isleño,3,0,0,0,0,0,-1,islander
idioma romance,3,0,0,0,0,0,-1,romance language
mestizo,1,1,0,1,0,0,1,half Blood
maoríes,3,0,0,0,0,0,-1,maori
atrevidas,2,0,0,0,1,0,0.6666666667,daring
buenos en lucha,2,0,1,0,0,0,0,good at fighting
pijas,0,1,1,0,1,0,2.333333333,cocks
cabezones,0,1,1,0,1,0,2.333333333,big heads
buenos en ciclismo,2,1,0,0,0,0,-0.3333333333,good at cycling
perfeccionista,1,1,0,1,0,0,1,perfectionist
buenos esquiadores,2,1,0,0,0,0,-0.3333333333,good skiers
hablan esloveno,3,0,0,0,0,0,-1,they speak slovenian
metódico,2,0,0,1,0,0,0.3333333333,methodical
mal educado,0,0,1,1,1,0,3,impolite
cantado,3,0,0,0,0,0,-1,sung
hindú,3,0,0,0,0,0,-1,Hindu
burka,2,0,1,0,0,0,0,burqa
buenos futbolistas,2,1,0,0,0,0,-0.3333333333,good footballers
escalador,3,0,0,0,0,0,-1,scaler
antiguas,1,1,0,0,1,0,1.333333333,ancient
luchadores,2,0,1,0,0,0,0,fighters
difícil,2,0,0,1,0,0,0.3333333333,difficult
franco,3,0,0,0,0,0,-1,Frank
estricto,0,2,0,0,1,0,2,strict
refugiado,2,0,1,0,0,0,0,refugee
eslavo,3,0,0,0,0,0,-1,Slavic
hablador,2,0,0,1,0,0,0.3333333333,talkative
hablan rápido,2,0,0,1,0,0,0.3333333333,they talk fast
ordenado,3,0,0,0,0,0,-1,tidy
fuerte,3,0,0,0,0,0,-1,strong
surf,3,0,0,0,0,0,-1,surf
berets,2,0,0,0,0,1,-0.6666666667,berets
hostiles,1,1,0,0,1,0,1.333333333,hostile
terrorista,0,0,0,0,3,0,4,terrorist
engreído,0,0,0,2,1,0,3.333333333,conceited
árabe,3,0,0,0,0,0,-1,Arab
graciosa,3,0,0,0,0,0,-1,funny
fiestera,1,0,2,0,0,0,1,party girl
resiliente,3,0,0,0,0,0,-1,resilient
beben whisky,2,0,0,0,1,0,0.6666666667,they drink whiskey
chula,1,1,0,1,0,0,1,hot
violentos,0,0,0,1,2,0,3.666666667,violent
enamorados,2,1,0,0,0,0,-0.3333333333,lovers
ruso,3,0,0,0,0,0,-1,Russian
le gusta el vino,2,0,0,1,0,0,0.3333333333,he likes wine
extremeño,3,0,0,0,0,0,-1,extremeño
lengua romántica,3,0,0,0,0,0,-1,romantic language
expresiva,3,0,0,0,0,0,-1,expressive
buenos en rugby,2,1,0,0,0,0,-0.3333333333,good at rugby
pesimistas,1,1,0,0,1,0,1.333333333,pessimists
verde,2,0,1,0,0,0,0,green
vasco,3,0,0,0,0,0,-1,Basque
celta,3,0,0,0,0,0,-1,Celtic
bengalí,3,0,0,0,0,0,-1,Bengali
hablado en muchos países,3,0,0,0,0,0,-1,spoken in many countries
indígena,0,2,1,0,0,0,1.333333333,indigenous
habla galés,3,0,0,0,0,0,-1,speaks welsh
adictos al jamón,2,0,0,1,0,0,0.3333333333,ham addicts
colonizadores,1,0,0,2,0,0,1.666666667,colonizers
campesinas,1,1,0,0,1,0,1.333333333,peasants
conservadores,2,0,0,1,0,0,0.3333333333,conservatives
estúpidos,0,0,0,2,1,0,3.333333333,stupid
amantes del rugby,2,1,0,0,0,0,-0.3333333333,rugby lovers
españa,3,0,0,0,0,0,-1,Spain
romance,3,0,0,0,0,0,-1,Romance
relajado,2,1,0,0,0,0,-0.3333333333,relaxed
inocente,2,0,1,0,0,0,0,innocent
tenían mal humor,2,0,0,0,1,0,0.6666666667,They were in a bad mood
hospitalaria,3,0,0,0,0,0,-1,hospitable
española,3,0,0,0,0,0,-1,Spanish
letón,3,0,0,0,0,0,-1,Latvian
dialecto,3,0,0,0,0,0,-1,dialect
liberales,1,1,1,0,0,0,0.6666666667,liberals
piel oscura,1,1,1,0,0,0,0.6666666667,Dark skin
hablante de lenguas,3,0,0,0,0,0,-1,language speaker
son románticos,2,1,0,0,0,0,-0.3333333333,they are romantic
nómada,2,1,0,0,0,0,-0.3333333333,nomadic
musulmanes,2,0,1,0,0,0,0,Muslims
difícil de escribir,2,1,0,0,0,0,-0.3333333333,difficult to write
griego,3,0,0,0,0,0,-1,Greek
good at swimming,1,1,0,0,0,1,0,good at swimming
protestante,1,1,1,0,0,0,0.6666666667,Protestant
irlandeses,3,0,0,0,0,0,-1,irish
cabezón,0,1,1,0,1,0,2.333333333,pigheaded
amante del chocolate,2,1,0,0,0,0,-0.3333333333,chocolate lover
buenos en el levantamiento de piedras,2,0,1,0,0,0,0,good at lifting stones
albaneses,3,0,0,0,0,0,-1,albanians
narizones,0,0,2,0,1,0,2.666666667,noses
morriños,2,0,0,1,0,0,0.3333333333,morrinos
habilidosos,3,0,0,0,0,0,-1,skilled
norte de españa,3,0,0,0,0,0,-1,north of Spain
honest,2,0,0,0,0,1,-0.6666666667,honest
matar,0,0,1,0,2,0,3.333333333,kill
buenos relojeros,2,1,0,0,0,0,-0.3333333333,good watchmakers
español,3,0,0,0,0,0,-1,Spanish
amante de la belleza,3,0,0,0,0,0,-1,beauty lover
tea,1,1,0,0,0,1,0,torch
fundamentalista,0,1,1,0,1,0,2.333333333,fundamentalist
buenas en fútbol,2,1,0,0,0,0,-0.3333333333,good at soccer
comida rica,3,0,0,0,0,0,-1,good food
condiciones,3,0,0,0,0,0,-1,conditions
comen jamón,2,0,1,0,0,0,0,they eat ham
hablan suajili,3,0,0,0,0,0,-1,they speak swahili
hablado por más personas,3,0,0,0,0,0,-1,spoken by more people
antropófago,0,0,1,0,2,0,3.333333333,cannibal
americanas,3,0,0,0,0,0,-1,american
trabajador,3,0,0,0,0,0,-1,worker
en el norte de españa,3,0,0,0,0,0,-1,in the north of Spain
fiesta,2,0,1,0,0,0,0,party
ladrón,0,0,0,0,3,0,4,thief
aficionados al mar,3,0,0,0,0,0,-1,sea ​​fans
hablado en brasil,3,0,0,0,0,0,-1,spoken in brazil
pueblo,3,0,0,0,0,0,-1,town
fría,1,0,1,1,0,0,1.333333333,cold
viven en madagascar,3,0,0,0,0,0,-1,they live in madagascar
musulmán,2,0,1,0,0,0,0,Muslim
archipiélago,3,0,0,0,0,0,-1,archipelago
elegante,3,0,0,0,0,0,-1,elegant
good at soccer,1,1,0,0,0,1,0,good at soccer
lusohablantes,3,0,0,0,0,0,-1,luso-speakers
italianos,3,0,0,0,0,0,-1,italians
coquetas,2,0,1,0,0,0,0,flirtatious
teórico,3,0,0,0,0,0,-1,theoretical
cerveza,2,0,0,1,0,0,0.3333333333,beer
amante de la fiesta,1,1,0,1,0,0,1,party lover
amantes del aire libre,2,1,0,0,0,0,-0.3333333333,outdoor lovers
misterioso,1,1,1,0,0,0,0.6666666667,mysterious
aislado,2,1,0,0,0,0,-0.3333333333,isolated
tocados,3,0,0,0,0,0,-1,headdresses
moro,1,0,0,1,1,0,2,Moor
amantes del té,2,0,1,0,0,0,0,tea lovers
insular,3,0,0,0,0,0,-1,insular
budista,2,0,1,0,0,0,0,buddhist
pais,3,0,0,0,0,0,-1,country
guaraní,3,0,0,0,0,0,-1,Guarani
pobre,1,1,0,1,0,0,1,poor
hablaban portugués,3,0,0,0,0,0,-1,they spoke portuguese
habla español,3,0,0,0,0,0,-1,speak Spanish
frito,3,0,0,0,0,0,-1,fried
violento,0,0,0,1,2,0,3.666666667,violent
argentinas,3,0,0,0,0,0,-1,Argentinian
cantaora,2,0,1,0,0,0,0,singer
simpática,3,0,0,0,0,0,-1,nice
callado,2,0,1,0,0,0,0,reserved
intelectual,3,0,0,0,0,0,-1,intellectual
pamplona,3,0,0,0,0,0,-1,pamplona
enano,0,0,2,0,1,0,2.666666667,dwarf
antipático,0,1,0,1,1,0,2.666666667,unfriendly
moreno,2,0,1,0,0,0,0,dark
buenos surfistas,3,0,0,0,0,0,-1,good surfers
bueno en carreras de fondo,2,1,0,0,0,0,-0.3333333333,good at long distance running
amante del vino,1,1,0,1,0,0,1,wine lover
islámico,1,0,1,1,0,0,1.333333333,Islamic
bondadosos,3,0,0,0,0,0,-1,kind
les gusta comer pupusas,2,0,1,0,0,0,0,they like to eat pupusas
rebelde,0,2,0,0,1,0,2,rebel
locos,0,0,1,1,1,0,3,crazy
feroces,0,1,0,0,2,0,3,fierce
habladora,2,0,1,0,0,0,0,chatty
baila flamenco,2,0,1,0,0,0,0,dance flamenco
magiar,3,0,0,0,0,0,-1,Magyar
autoritario,0,0,1,1,1,0,3,authoritarian
es un idioma difícil,2,1,0,0,0,0,-0.3333333333,It is a difficult language
bellas,3,0,0,0,0,0,-1,beautiful
tailless,3,0,0,0,0,0,-1,tailless
cosmopolita,3,0,0,0,0,0,-1,cosmopolitan
enigmáticos,1,0,1,1,0,0,1.333333333,enigmatic
torera,2,0,1,0,0,0,0,bullfighter
orgullosa,1,1,0,1,0,0,1,proud
buenos en esquí,3,0,0,0,0,0,-1,good at skiing
llorones,1,1,0,0,1,0,1.333333333,crybabies
madrileños,3,0,0,0,0,0,-1,Madrid
amor a la comida,2,0,1,0,0,0,0,love of food
tenían un sentido del humor seco,0,2,0,1,0,0,1.666666667,They had a dry sense of humor
patrióticas,1,1,1,0,0,0,0.6666666667,patriotic
viento,3,0,0,0,0,0,-1,wind
les gusta el shopping,1,1,1,0,0,0,0.6666666667,they like shopping
típica,2,0,1,0,0,0,0,typical
nórdico,3,0,0,0,0,0,-1,Nordic
frugal,1,1,0,0,1,0,1.333333333,frugal
católico,2,0,1,0,0,0,0,Catholic
poco poblados,3,0,0,0,0,0,-1,sparsely populated
francotirador,0,0,0,1,2,0,3.666666667,sniper
temperaturas,3,0,0,0,0,0,-1,temperatures
salvaje,0,1,0,0,2,0,3,wild
animado,3,0,0,0,0,0,-1,animated
buenas en el vino,1,1,1,0,0,0,0.6666666667,good in wine
maratonianos,3,0,0,0,0,0,-1,marathoners
felices,3,0,0,0,0,0,-1,happy
fogosas,1,1,0,0,1,0,1.333333333,fiery
hablado en españa,3,0,0,0,0,0,-1,spoken in spain
patriota,1,2,0,0,0,0,0.3333333333,patriot
gitana,1,1,0,0,1,0,1.333333333,gypsy
buenos en el vino,1,1,1,0,0,0,0.6666666667,good in wine
delicados,2,0,1,0,0,0,0,delicate
negro,1,1,0,0,1,0,1.333333333,black
blanco,1,2,0,0,0,0,0.3333333333,white
habitantes de taiwán,3,0,0,0,0,0,-1,inhabitants of taiwan
le gusta el mate,2,0,1,0,0,0,0,he likes mate
bebedores de guinness,2,0,0,1,0,0,0.3333333333,guinness drinkers
festivo,2,1,0,0,0,0,-0.3333333333,festive
beben mucho,1,0,0,1,1,0,2,they drink a lot
pelirrojo,2,1,0,0,0,0,-0.3333333333,redhead
australianos,3,0,0,0,0,0,-1,Australians
civilizados,3,0,0,0,0,0,-1,civilized
montaña,3,0,0,0,0,0,-1,mountain
apasionado,2,1,0,0,0,0,-0.3333333333,passionate
sexys,1,2,0,0,0,0,0.3333333333,sexy
taciturnos,1,1,0,1,0,0,1,taciturn
frio,1,0,2,0,0,0,1,cold
obesos,1,1,0,0,1,0,1.333333333,obese
gatos,3,0,0,0,0,0,-1,cats
puntuales,3,0,0,0,0,0,-1,punctual
pescadores,3,0,0,0,0,0,-1,fishermen
comen hamburguesas,2,0,0,1,0,0,0.3333333333,they eat hamburgers
prepotente,0,0,0,2,1,0,3.333333333,prepotent
innovadores,3,0,0,0,0,0,-1,innovative
presumidos,1,1,0,1,0,0,1,conceited
lengua hablada en francia,3,0,0,0,0,0,-1,language spoken in france
les encantan las fiestas,2,0,0,1,0,0,0.3333333333,they love parties
dictador,0,0,0,0,3,0,4,dictator
hablan feroés,3,0,0,0,0,0,-1,they speak faroese
catalanes,3,0,0,0,0,0,-1,Catalans
alta,2,1,0,0,0,0,-0.3333333333,high
shona,3,0,0,0,0,0,-1,shona
viven en el ártico,3,0,0,0,0,0,-1,they live in the arctic
deliciosas,3,0,0,0,0,0,-1,delicious
cristiano,2,0,1,0,0,0,0,Christian
caribeño,3,0,0,0,0,0,-1,caribbean
piel morena,2,1,0,0,0,0,-0.3333333333,brown skin
taco,2,0,1,0,0,0,0,Taco
muy ricos,2,1,0,0,0,0,-0.3333333333,Very rich
eran morenas,2,1,0,0,0,0,-0.3333333333,They were brunettes
rico,2,1,0,0,0,0,-0.3333333333,rich
gaucho,3,0,0,0,0,0,-1,gaucho
buenas cocineras,2,1,0,0,0,0,-0.3333333333,good cooks
disparar,1,0,0,0,2,0,2.333333333,shoot
bebedor,0,1,0,0,2,0,3,drinker
serviciales,3,0,0,0,0,0,-1,helpful
eficiente,3,0,0,0,0,0,-1,efficient
me gusta el arte,3,0,0,0,0,0,-1,I like art
volcán,3,0,0,0,0,0,-1,volcano
canguro,3,0,0,0,0,0,-1,kangaroo
rica en historia,3,0,0,0,0,0,-1,rich in history
exóticas,1,1,0,1,0,0,1,exotic
vegetarian,2,0,1,0,0,0,0,vegetarian
cálido,3,0,0,0,0,0,-1,warm
buenos en paellas,2,0,1,0,0,0,0,good in paellas
españoles,3,0,0,0,0,0,-1,Spanish people
buenos mariscos,3,0,0,0,0,0,-1,good seafood
altanería,0,0,1,1,1,0,3,arrogance
místico,2,1,0,0,0,0,-0.3333333333,mystical
ama bailar,2,0,1,0,0,0,0,loves to dance
les encanta comer,2,0,0,1,0,0,0.3333333333,they love to eat
buenos bebedores de vino,1,1,0,0,1,0,1.333333333,good wine drinkers
hablantes,2,0,0,1,0,0,0.3333333333,speakers
buen futbolista,2,0,1,0,0,0,0,good footballer
espirituales,2,0,1,0,0,0,0,spiritual
viven en el polo norte,3,0,0,0,0,0,-1,they live at the north pole
domésticos,2,0,1,0,0,0,0,domestic
esclavas,0,0,1,1,1,0,3,slaves
arte,3,0,0,0,0,0,-1,art
hermosa,3,0,0,0,0,0,-1,beautiful
amante del surf,2,1,0,0,0,0,-0.3333333333,surf lover
nieve,3,0,0,0,0,0,-1,snow
conservadora,2,0,0,1,0,0,0.3333333333,conservative
vino,2,0,0,0,1,0,0.6666666667,came
indisciplinadas,0,1,0,1,1,0,2.666666667,undisciplined
hablan indonesio,3,0,0,0,0,0,-1,they speak indonesian
caballeroso,3,0,0,0,0,0,-1,gentlemanly
judía,2,0,1,0,0,0,0,bean
temperamentales,0,1,1,0,1,0,2.333333333,temperamental
trabajadores,3,0,0,0,0,0,-1,workers
amante de la diversión,2,0,1,0,0,0,0,Fun lover
vacaciones,3,0,0,0,0,0,-1,vacation
ropa de playa,3,0,0,0,0,0,-1,Beach clothes
racista,0,0,0,1,2,0,3.666666667,racist
amante de la cerveza,2,0,0,0,1,0,0.6666666667,beer lover
comen mucho picante,2,0,1,0,0,0,0,they eat a lot of spicy
marroquíes,3,0,0,0,0,0,-1,Moroccans
cuna del español,3,0,0,0,0,0,-1,birthplace of spanish
vodka,2,0,0,0,1,0,0.6666666667,vodka
lengua,3,0,0,0,0,0,-1,language
expresivo,3,0,0,0,0,0,-1,expressive
picante,3,0,0,0,0,0,-1,spicy
guapa,3,0,0,0,0,0,-1,pretty
amargo,2,0,0,1,0,0,0.3333333333,bitter
solitario,2,0,0,1,0,0,0.3333333333,lonely
autoritarios,0,0,1,0,2,0,3.333333333,authoritarian
aprendo a cocinar,3,0,0,0,0,0,-1,I learn to cook
hablan alemán,3,0,0,0,0,0,-1,they speak German
lengua franca,3,0,0,0,0,0,-1,lingua franca
caballeros,3,0,0,0,0,0,-1,gentlemen
difícil de aprender,2,0,1,0,0,0,0,Is hard to learn
soy elegante,3,0,0,0,0,0,-1,I'm elegant
les gusta el fútbol,2,0,1,0,0,0,0,They like football
pirámide,3,0,0,0,0,0,-1,pyramid
presumidas,1,1,1,0,0,0,0.6666666667,conceited
noble,3,0,0,0,0,0,-1,noble
tintos,3,0,0,0,0,0,-1,reds
luso,3,0,0,0,0,0,-1,luso
fluido,3,0,0,0,0,0,-1,fluent
amarillo,2,0,0,0,1,0,0.6666666667,yellow
empanadillas,2,1,0,0,0,0,-0.3333333333,dumplings
ártico,3,0,0,0,0,0,-1,arctic
académico,3,0,0,0,0,0,-1,academic
aficionados al vino,1,1,0,0,1,0,1.333333333,wine lovers
beben té,2,0,1,0,0,0,0,they drink tea
tulipán,3,0,0,0,0,0,-1,tulip
nazi,0,0,0,0,3,0,4,Nazi
peninsulares,3,0,0,0,0,0,-1,peninsular
amante de la tecnología,2,1,0,0,0,0,-0.3333333333,technology lover
esquiador,3,0,0,0,0,0,-1,skier
capitalista,1,1,1,0,0,0,0.6666666667,capitalist
aztecas,2,0,1,0,0,0,0,aztecs
hospitalario,3,0,0,0,0,0,-1,hospitable
eran musulmanes,1,1,1,0,0,0,0.6666666667,they were muslims
deportista,2,1,0,0,0,0,-0.3333333333,sportsman
les encanta la cerveza,2,0,0,0,1,0,0.6666666667,they love beer
cálida,3,0,0,0,0,0,-1,warm
sandinista,1,0,2,0,0,0,1,sandinista
aventurero,3,0,0,0,0,0,-1,adventurous
gitano,1,1,0,0,1,0,1.333333333,Gypsy
cervecero,1,1,0,0,1,0,1.333333333,brewer
amantes del vino,1,1,0,0,1,0,1.333333333,wine lovers
aborigen,2,0,0,0,1,0,0.6666666667,aboriginal
perezoso,1,0,1,0,1,0,1.666666667,lazy
hablado en indonesia,3,0,0,0,0,0,-1,spoken in indonesia
separatista,0,0,1,1,1,0,3,separatist
multicultural,3,0,0,0,0,0,-1,multicultural
neutral,2,1,0,0,0,0,-0.3333333333,neutral
lecheras,3,0,0,0,0,0,-1,milkmaids
libre,3,0,0,0,0,0,-1,free
mafioso,0,0,0,1,2,0,3.666666667,gangster
montañosa,3,0,0,0,0,0,-1,mountainous
galeses,3,0,0,0,0,0,-1,Welsh
materialista,0,1,1,1,0,0,2,materialistic
buenas en natación,2,1,0,0,0,0,-0.3333333333,good at swimming
habladores,2,0,0,1,0,0,0.3333333333,talkative
luchador,2,0,1,0,0,0,0,fighter
les gusta el té,2,0,1,0,0,0,0,they like tea
con acento,1,1,1,0,0,0,0.6666666667,with accent
ahorrativo,2,0,1,0,0,0,0,thrifty
beben sidra,2,0,0,0,1,0,0.6666666667,they drink cider
mujeres hermosas,3,0,0,0,0,0,-1,beautiful women
indios americanos,2,0,0,0,1,0,0.6666666667,american indians
extrovertida,2,0,1,0,0,0,0,extrovert
beber,2,0,0,0,1,0,0.6666666667,to drink
turista,2,1,0,0,0,0,-0.3333333333,tourist
incultas,0,0,2,0,1,0,2.666666667,uneducated
extravagante,1,1,0,0,1,0,1.333333333,extravagant
flemático,0,2,0,1,0,0,1.666666667,phlegmatic
criminales,0,0,0,0,3,0,4,criminals
antiguo,1,1,0,1,0,0,1,ancient
snob,0,1,0,1,1,0,2.666666667,snob
amante del tango,2,0,1,0,0,0,0,tango lover
