identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Waethiopia,wenye ngozi nyeusi,2,1,0,3.333333333,Ethiopians,dark skinned
WaSierra Leone,vita,1,2,0,3.333333333,Sierra Leoneans,war
Waserbia,wapenda vita,1,2,0,3.333333333,Serbs,lovers of war
watu kutoka mkoa wa nairobi,wakorofi,0,3,0,3,people from nairobi region,mischievous
watu kutoka mkoa wa nyanza,maskini,2,1,0,3,people from nyanza region,poor
Hungarian,untrustworthy,0,3,0,3,Hungarian,untrustworthy
watu kutoka mkoa wa kaskazini mashariki,wakorofi,0,3,0,3,people from the northeastern region,mischievous
watu kutoka mkoa wa mashariki,wakorofi,2,1,0,3,people from the eastern region,mischievous
Wasudan Kusini,wanaoishi katika umaskini,1,2,0,3,South Sudanese,living in poverty
Kimalawi,maskini,1,2,0,3,Malawian,poor
Wasiria,mzozo,1,2,0,3,Syrians,conflict
watu kutoka mkoa wa mashariki,waasi,0,3,0,3,people from the eastern region,rebels
watu kutoka mkoa wa nairobi,waasi,2,1,0,3,people from nairobi region,rebels
watu kutoka mkoa wa magharibi,wakorofi,0,3,0,3,people from the western region,mischievous
Guinean,maskini,2,1,0,3,Guinean,poor
Waethiopia,wanawake walionyonywa,1,1,1,3,Ethiopians,exploited women
Wasomali,wanakula chakula kibaya,0,2,1,3,Somalis,they eat bad food
Wasomali,wanapenda vita,0,3,0,3,Somalis,they love war
Waafghan,wenye silaha,0,3,0,3,Afghans,armed
watu kutoka mkoa wa magharibi,waasi,0,3,0,3,people from the western region,rebels
Wamarekani,wakorofi,1,2,0,3,Americans,mischievous
watu kutoka mkoa wa pwani,wenye rangi nyeusi,2,1,0,3,people from the coastal region,with black color
WaSierra Leone,maskini,1,2,0,3,Sierra Leoneans,poor
Manx,mbwa,1,2,0,3,Manx,dog
watu kutoka mkoa wa kaskazini mashariki,maskini,1,2,0,3,people from the northeastern region,poor
Wasomali,maskini,1,2,0,3,Somalis,poor
watu kutoka mkoa wa mashariki,maskini,0,3,0,3,people from the eastern region,poor
Gambia,maskini,1,2,0,3,The Gambia,poor
Wasudan Kusini,wanaishi katika umasikini,0,3,0,3,South Sudanese,they live in poverty
Wasomali,wana shida ya chakula,1,2,0,3,Somalis,they have a food problem
watu kutoka mkoa wa nairobi,maskini,2,1,0,3,people from nairobi region,poor
Wasudan Kusini,maskini,1,2,0,3,South Sudanese,poor
Waskoti,wanywaji,0,3,0,2.666666667,The Scots,drinkers
watu kutoka mkoa wa kati,wenye uchu wa pesa,1,2,0,2.666666667,people from the central region,greedy for money
watu kutoka mkoa wa magharibi,wavivu,2,1,0,2.666666667,people from the western region,lazy
watu kutoka mkoa wa kati,wavivu,2,1,0,2.666666667,people from the central region,lazy
watu kutoka mkoa wa kaskazini mashariki,wavivu,1,2,0,2.666666667,people from the northeastern region,lazy
Wasudan Kusini,masikini,1,2,0,2.666666667,South Sudanese,poor
watu kutoka mkoa wa mashariki,wavivu,2,1,0,2.666666667,people from the eastern region,lazy
Kiayalandi,wanywaji wa pombe,1,2,0,2.666666667,Irish,alcoholic drinkers
watu kutoka mkoa wa nyanza,wavivu,2,1,0,2.666666667,people from nyanza region,lazy
watu kutoka mkoa wa bonde la ufa,wenye njaa,1,2,0,2.666666667,people from the Rift Valley region,the hungry
Wasiria,mbaya,1,2,0,2.666666667,Syrians,bad
watu kutoka mkoa wa magharibi,mkorofi,0,3,0,2.666666667,people from the western region,mischievous
Kiingereza,mkorofi,1,1,1,2.666666667,English,mischievous
watu kutoka mkoa wa kaskazini mashariki,mbaya,1,2,0,2.666666667,people from the northeastern region,bad
watu kutoka mkoa wa kaskazini mashariki,wabaya,0,3,0,2.666666667,people from the northeastern region,the bad ones
watu kutoka mkoa wa nyanza,wanywaji,2,1,0,2.666666667,people from nyanza region,drinkers
watu kutoka mkoa wa kati,mbaya,1,2,0,2.666666667,people from the central region,bad
Wakorea,chuki,0,3,0,2.666666667,Koreans,hatred
watu kutoka mkoa wa kaskazini mashariki,wasio na ujuzi,0,2,1,2.666666667,people from the northeastern region,the unskilled
watu kutoka mkoa wa nairobi,masikini,2,1,0,2.666666667,people from nairobi region,poor
watu kutoka mkoa wa nyanza,watu wenye njaa,2,1,0,2.666666667,people from nyanza region,hungry people
watu kutoka mkoa wa nairobi,wavivu,2,1,0,2.666666667,people from nairobi region,lazy
watu kutoka mkoa wa nairobi,wanaishi katika umaskini,2,1,0,2.666666667,people from nairobi region,they live in poverty
watu kutoka mkoa wa nairobi,wenye njaa,1,2,0,2.666666667,people from nairobi region,the hungry
watu kutoka mkoa wa magharibi,wasio na ustaarabu kidogo,0,3,0,2.666666667,people from the western region,less civilized
watu kutoka mkoa wa bonde la ufa,wavivu,1,2,0,2.666666667,people from the Rift Valley region,lazy
watu kutoka mkoa wa mashariki,wanapenda kula sana,2,1,0,2.666666667,people from the eastern region,they like to eat a lot
watu kutoka mkoa wa pwani,wavivu,0,3,0,2.666666667,people from the coastal region,lazy
WaSierra Leone,masikini,1,2,0,2.666666667,Sierra Leoneans,poor
watu kutoka mkoa wa bonde la ufa,wanaishi katika mazingira ya shida,1,2,0,2.666666667,people from the Rift Valley region,they live in a troubled environment
Wamarekani,ubinafsi,0,3,0,2.666666667,Americans,selfishness
Wakorea,fujo,1,2,0,2.666666667,Koreans,a mess
Wakorea,kinyume cha sheria,0,2,1,2.666666667,Koreans,against the law
Madagascan,mweusi,1,2,0,2.333333333,Madagascan,black
Mzambia,mweusi,1,2,0,2.333333333,Zambian,black
Guinean,mweusi,1,2,0,2.333333333,Guinean,black
watu kutoka mkoa wa nyanza,mweusi,1,2,0,2.333333333,people from nyanza region,black
watu kutoka mkoa wa magharibi,kiburi,1,2,0,2.333333333,people from the western region,pride
Mtanzania,mafrika,2,1,0,2.333333333,Tanzanian,Africans
Wamarekani,wabinafsi,1,2,0,2.333333333,Americans,selfish
Kihispania,kimapenzi,1,2,0,2.333333333,Spanish,romantic
watu kutoka mkoa wa nyanza,wapuuzi,2,1,0,2.333333333,people from nyanza region,fools
watu kutoka mkoa wa pwani,mweusi,2,1,0,2.333333333,people from the coastal region,black
watu kutoka mkoa wa kati,mnene,1,2,0,2.333333333,people from the central region,thick
watu kutoka mkoa wa nairobi,wakali,1,2,0,2.333333333,people from nairobi region,aggressive
Wasomali,wasio na mpangilio,0,2,1,2.333333333,Somalis,unorganized
watu kutoka mkoa wa mashariki,wapuuzi,0,2,1,2.333333333,people from the eastern region,fools
Waskoti,walevi,2,1,0,2.333333333,The Scots,drunkards
Wanigeria,mweusi,0,2,1,2.333333333,Nigerians,black
Waethiopia,wanyonge,0,2,1,2.333333333,Ethiopians,the weak
watu kutoka mkoa wa kaskazini mashariki,wapuuzi,0,2,1,2.333333333,people from the northeastern region,fools
watu kutoka mkoa wa pwani,wapuuzi,1,1,1,2.333333333,people from the coastal region,fools
Wasudan Kusini,wanatumia silaha,1,2,0,2.333333333,South Sudanese,they use weapons
Mtanzania,mweusi,2,1,0,2.333333333,Tanzanian,black
watu kutoka mkoa wa kaskazini mashariki,wakali,1,2,0,2.333333333,people from the northeastern region,aggressive
Kiitaliano,kimapenzi,2,1,0,2.333333333,Italian,romantic
watu kutoka mkoa wa mashariki,kiburi,1,2,0,2.333333333,people from the eastern region,pride
watu kutoka mkoa wa nairobi,walevi,1,2,0,2.333333333,people from nairobi region,drunkards
watu kutoka mkoa wa nairobi,hatari,1,2,0,2.333333333,people from nairobi region,dangerous
watu kutoka mkoa wa nairobi,wapuuzi,2,1,0,2.333333333,people from nairobi region,fools
Kiitaliano,mweusi,1,1,1,2.333333333,Italian,black
Wasudan Kusini,ufukara,1,2,0,2.333333333,South Sudanese,poverty
watu kutoka mkoa wa bonde la ufa,mnene,2,1,0,2.333333333,people from the Rift Valley region,thick
watu kutoka mkoa wa kati,wapuuzi,1,2,0,2.333333333,people from the central region,fools
Sahrawi,wakimbizi,0,3,0,2.333333333,Sahrawi,refugees
watu kutoka mkoa wa nairobi,wagumu,0,3,0,2.333333333,people from nairobi region,difficult
Kifaransa,kupenda chakula,0,3,0,2.333333333,French,love food
Waafghan,wakaidi,0,3,0,2.333333333,Afghans,stubborn
watu kutoka mkoa wa kaskazini mashariki,wagumu,1,2,0,2.333333333,people from the northeastern region,difficult
watu kutoka mkoa wa mashariki,wakali,0,3,0,2.333333333,people from the eastern region,aggressive
Mexican,lazy,0,3,0,2.333333333,Mexican,lazy
Wamarekani,mbinafsi,0,3,0,2.333333333,Americans,selfish
Mkenya,mweusi,1,2,0,2.333333333,Kenyan,black
watu kutoka mkoa wa nyanza,walevi,2,1,0,2.333333333,people from nyanza region,drunkards
Waafghan,wakimbizi,0,3,0,2.333333333,Afghans,refugees
watu kutoka mkoa wa bonde la ufa,wapuuzi,2,1,0,2.333333333,people from the Rift Valley region,fools
Kifaransa,kimapenzi,2,1,0,2.333333333,French,romantic
Wasiria,wakimbizi,1,2,0,2.333333333,Syrians,refugees
watu kutoka mkoa wa magharibi,wagumu,1,2,0,2.333333333,people from the western region,difficult
Wakorea,ukandamizaji,0,3,0,2.333333333,Koreans,oppression
Waafghan,wanapigana,0,3,0,2.333333333,Afghans,they are fighting
Wamarekani,mnene,0,3,0,2.333333333,Americans,thick
Wamarekani,wabishi,1,2,0,2.333333333,Americans,argue
Saudis,waislamu,2,1,0,2.333333333,Saudis,Muslims
watu kutoka mkoa wa bonde la ufa,wagumu,0,3,0,2.333333333,people from the Rift Valley region,difficult
Wasomali,ni wapiganaji,1,2,0,2.333333333,Somalis,are fighters
watu kutoka mkoa wa pwani,walevi,2,1,0,2.333333333,people from the coastal region,drunkards
watu kutoka mkoa wa nairobi,mweusi,2,1,0,2.333333333,people from nairobi region,black
Kiitaliano,wanapenda sana chakula,0,3,0,2.333333333,Italian,they really like food
Wasomali,wamevaa nguo za kitambara,2,1,0,2.333333333,Somalis,they are wearing cloth clothes
watu kutoka mkoa wa kaskazini mashariki,wakaidi,0,3,0,2.333333333,people from the northeastern region,stubborn
Waethiopia,walikuwa na rangi ya ngozi nyeusi,1,2,0,2.333333333,Ethiopians,they had dark skin
Kiayalandi,mlevi,1,2,0,2.333333333,Irish,drunk
Wabosnia,waislamu,2,1,0,2.333333333,Bosnians,Muslims
watu kutoka mkoa wa magharibi,walevi,2,1,0,2.333333333,people from the western region,drunkards
watu kutoka mkoa wa mashariki,wagumu,2,1,0,2.333333333,people from the eastern region,difficult
watu kutoka mkoa wa mashariki,watawala,1,2,0,2,people from the eastern region,rulers
watu kutoka mkoa wa magharibi,wanene,1,2,0,2,people from the western region,fat
watu kutoka mkoa wa pwani,mkali,0,2,1,2,people from the coastal region,bright
Waserbia,mkali,0,3,0,2,Serbs,bright
watu kutoka mkoa wa magharibi,wasio na akili,2,1,0,2,people from the western region,the unintelligent
watu kutoka mkoa wa bonde la ufa,wasio na utulivu,1,2,0,2,people from the Rift Valley region,restless
watu kutoka mkoa wa kati,mkali,1,2,0,2,people from the central region,bright
Kifaransa,wapenzi wa chakula,1,2,0,2,French,food lovers
Formosans,waasia,1,2,0,2,Formosans,Asians
watu kutoka mkoa wa nyanza,mkali,0,2,1,2,people from nyanza region,bright
Wakorea,mkali,0,2,1,2,Koreans,bright
Hungarian,unreliable,1,2,0,2,Hungarian,unreliable
Kijerumani,mkali,1,1,1,2,German,bright
watu kutoka mkoa wa magharibi,mkali,0,3,0,2,people from the western region,bright
Wahindi,rangi nyingi,1,2,0,2,Indians,many colors
watu kutoka mkoa wa magharibi,wapenda kunywa,0,3,0,2,people from the western region,they like to drink
Wahindi,rangi ya ngozi,1,1,1,2,Indians,skin color
watu kutoka mkoa wa mashariki,wasio na akili,1,2,0,2,people from the eastern region,the unintelligent
watu kutoka mkoa wa nairobi,wasio na akili,2,1,0,2,people from nairobi region,the unintelligent
Kifaransa,wanapenda mapenzi,1,2,0,2,French,they love romance
Waserbia,wababe,2,1,0,2,Serbs,tyrants
watu kutoka mkoa wa kaskazini mashariki,wasio na akili,0,2,1,2,people from the northeastern region,the unintelligent
watu kutoka mkoa wa bonde la ufa,mkali,0,3,0,2,people from the Rift Valley region,bright
Kilatvia,mkali,0,3,0,2,Latvian,bright
watu kutoka mkoa wa mashariki,wanene,1,2,0,2,people from the eastern region,fat
watu kutoka mkoa wa kaskazini mashariki,wanene,2,1,0,2,people from the northeastern region,fat
Formosans,mkali,1,2,0,2,Formosans,bright
Wamarekani,burger,1,1,1,2,Americans,burger
Kirusi,wanapenda kunywa vodka,1,2,0,2,Russian,they like to drink vodka
watu kutoka mkoa wa kaskazini mashariki,wahamiaji,1,2,0,2,people from the northeastern region,immigrants
watu kutoka mkoa wa magharibi,watawala,2,1,0,2,people from the western region,rulers
Kirusi,mkali,1,2,0,2,Russian,bright
watu kutoka mkoa wa kati,wanene,0,3,0,2,people from the central region,fat
watu kutoka mkoa wa mashariki,mkali,1,2,0,2,people from the eastern region,bright
watu kutoka mkoa wa bonde la ufa,wanapenda kunywa vodka,1,2,0,2,people from the Rift Valley region,they like to drink vodka
watu kutoka mkoa wa nairobi,wanene,0,3,0,2,people from nairobi region,fat
watu kutoka mkoa wa kaskazini mashariki,mkali,1,2,0,2,people from the northeastern region,bright
watu kutoka mkoa wa pwani,wasio na akili,1,1,1,2,people from the coastal region,the unintelligent
Wabosnia,mkali,1,2,0,2,Bosnians,bright
watu kutoka mkoa wa kati,wasio na akili,1,2,0,2,people from the central region,the unintelligent
Wamarekani,wanene,0,3,0,2,Americans,fat
watu kutoka mkoa wa nairobi,mkali,1,1,1,2,people from nairobi region,bright
Waserbia,wenye hasira,0,3,0,1.666666667,Serbs,angry
Waethiopia,wakazi wa miji,1,2,0,1.666666667,Ethiopians,urban dwellers
Scottish,shaggy,1,2,0,1.666666667,Scottish,shaggy
Wasomali,wanaomba msaada,1,2,0,1.666666667,Somalis,they ask for help
Kirusi,wanapenda vodka,1,2,0,1.666666667,Russian,they like vodka
Wakorea,kikali,0,2,1,1.666666667,Koreans,sharp
watu kutoka mkoa wa nairobi,wanapenda kucheza kamari,0,3,0,1.666666667,people from nairobi region,they like to gamble
Wasudan Kusini,walikuwa na shida,1,2,0,1.666666667,South Sudanese,they had a problem
watu kutoka mkoa wa nairobi,wazito,1,2,0,1.666666667,people from nairobi region,heavy
Wasudan Kusini,wahanga wa vita,0,2,1,1.666666667,South Sudanese,victims of war
Wasudan Kusini,wasio na chakula,1,2,0,1.666666667,South Sudanese,those without food
watu kutoka mkoa wa mashariki,wazito,1,2,0,1.666666667,people from the eastern region,heavy
watu kutoka mkoa wa kati,wazito,0,3,0,1.666666667,people from the central region,heavy
watu kutoka mkoa wa nairobi,wanaishi kwa umaskini,1,2,0,1.666666667,people from nairobi region,they live in poverty
Sahrawi,jangwa,2,1,0,1.666666667,Sahrawi,the desert
Waajentina,mhemko,1,2,0,1.666666667,Argentinians,mood
Wanamibia,jangwa,2,1,0,1.666666667,Namibians,the desert
Waskoti,wanapenda whisky,0,3,0,1.666666667,The Scots,they like whiskey
Saudis,wanapenda pesa,1,2,0,1.333333333,Saudis,they love money
watu kutoka mkoa wa mashariki,rangi ya kahawia,1,2,0,1.333333333,people from the eastern region,brown color
Wafilipino,wanapenda kula,1,2,0,1.333333333,Filipinos,they like to eat
watu kutoka mkoa wa kati,kihafidhina,1,2,0,1.333333333,people from the central region,conservative
watu kutoka mkoa wa bonde la ufa,wanapenda kula,2,1,0,1.333333333,people from the Rift Valley region,they like to eat
Wakorea,kihafidhina,0,2,1,1.333333333,Koreans,conservative
Wacuba,sigara,2,1,0,1.333333333,Cubans,cigarettes
Kimongolia,nomad,1,1,1,1.333333333,Mongolian,nomad
watu kutoka mkoa wa bonde la ufa,wanapiga kelele,1,2,0,1.333333333,people from the Rift Valley region,they shout
watu kutoka mkoa wa kaskazini mashariki,wajanja,1,2,0,1.333333333,people from the northeastern region,clever
watu kutoka mkoa wa magharibi,wajanja,1,2,0,1.333333333,people from the western region,clever
Wahindi,curry,1,2,0,1.333333333,Indians,curry
watu kutoka mkoa wa mashariki,kihafidhina,1,2,0,1.333333333,people from the eastern region,conservative
watu kutoka mkoa wa magharibi,kihafidhina,1,2,0,1.333333333,people from the western region,conservative
Wasomali,kabila,1,2,0,1.333333333,Somalis,tribe
Wamarekani,wanapenda kula,1,2,0,1.333333333,Americans,they like to eat
watu kutoka mkoa wa bonde la ufa,wajanja,1,2,0,1.333333333,people from the Rift Valley region,clever
watu kutoka mkoa wa kaskazini mashariki,wanapenda kula,0,2,1,1.333333333,people from the northeastern region,they like to eat
watu kutoka mkoa wa kaskazini mashariki,walikunywa sana,2,1,0,1.333333333,people from the northeastern region,they drank a lot
Waethiopia,walikimbia,0,3,0,1.333333333,Ethiopians,they ran away
watu kutoka mkoa wa kati,wajanja,0,3,0,1.333333333,people from the central region,clever
watu kutoka mkoa wa magharibi,wanapenda kula,0,3,0,1.333333333,people from the western region,they like to eat
Saudis,kihafidhina,0,3,0,1.333333333,Saudis,conservative
Waisraeli,wajanja,2,1,0,1.333333333,Israelis,clever
Kiitaliano,lugha ya kimapenzi,0,3,0,1.333333333,Italian,romantic language
Wamarekani,wanapenda pesa,0,3,0,1.333333333,Americans,they love money
watu kutoka mkoa wa kati,wasiojali,2,1,0,1.333333333,people from the central region,indifferent
Kiitaliano,kupenda sana kula,1,2,0,1.333333333,Italian,love to eat
watu kutoka mkoa wa kati,wenye kiburi,0,3,0,1.333333333,people from the central region,the proud
watu kutoka mkoa wa bonde la ufa,wanapenda bia,2,1,0,1.333333333,people from the Rift Valley region,they like beer
watu kutoka mkoa wa kaskazini mashariki,kihafidhina,0,3,0,1.333333333,people from the northeastern region,conservative
watu kutoka mkoa wa nairobi,wajanja,1,2,0,1.333333333,people from nairobi region,clever
watu kutoka mkoa wa mashariki,wajanja,1,2,0,1.333333333,people from the eastern region,clever
watu kutoka mkoa wa bonde la ufa,wanaishi katika nyumba za mbao,1,2,0,1.333333333,people from the Rift Valley region,they live in wooden houses
watu kutoka mkoa wa bonde la ufa,walikunywa sana,2,1,0,1.333333333,people from the Rift Valley region,they drank a lot
watu kutoka mkoa wa kati,wanapenda kula,1,2,0,1.333333333,people from the central region,they like to eat
Wahindi,wanapenda kula,0,3,0,1.333333333,Indians,they like to eat
watu kutoka mkoa wa magharibi,wanapenda bia,2,1,0,1.333333333,people from the western region,they like beer
Waethiopia,walikula chakula sana,0,2,1,1.333333333,Ethiopians,they ate a lot of food
watu kutoka mkoa wa mashariki,wanapenda kula,2,1,0,1.333333333,people from the eastern region,they like to eat
watu kutoka mkoa wa bonde la ufa,wanaishi katika vijiji,1,2,0,1,people from the Rift Valley region,they live in villages
watu kutoka mkoa wa pwani,wenye rangi ya ngozi ya njano,0,3,0,1,people from the coastal region,with yellow skin color
watu kutoka mkoa wa nairobi,wa kihafidhina,0,3,0,1,people from nairobi region,conservative
watu kutoka mkoa wa mashariki,wanapenda kula nyama,2,1,0,1,people from the eastern region,they like to eat meat
Wabosnia,kiislamu,1,2,0,1,Bosnians,Islamic
watu kutoka mkoa wa mashariki,wenye shauku,0,3,0,1,people from the eastern region,passionate
watu kutoka mkoa wa mashariki,wanapenda kutumia pesa,1,1,1,1,people from the eastern region,they like to spend money
Wamarekani,wapenda pesa,1,2,0,1,Americans,lovers of money
watu kutoka mkoa wa magharibi,wanapenda kula nyama,1,2,0,1,people from the western region,they like to eat meat
Waganda,wapenda utani,2,1,0,1,Ugandans,joke lovers
Waethiopia,kutoroka,0,2,1,1,Ethiopians,to escape
Wakameruni,moody,2,1,0,1,Cameroonians,moody
Kiitaliano,wanaongea sana,1,2,0,1,Italian,they talk a lot
Wasudan Kusini,wanasumbuliwa,1,1,1,1,South Sudanese,they are disturbed
Hellenes,wapenda utamaduni,1,2,0,1,Hellenes,culture lovers
Wahindi,wanapenda rangi,0,2,1,1,Indians,they love color
Kiitaliano,lugha ngumu,1,2,0,1,Italian,difficult language
Kikorea Kusini,wanapenda urembo,1,2,0,1,South Korean,they love beauty
watu kutoka mkoa wa nairobi,wenye shauku,1,2,0,1,people from nairobi region,passionate
watu kutoka mkoa wa kati,wanaongea kwa sauti kubwa,1,2,0,1,people from the central region,they speak loudly
watu kutoka mkoa wa magharibi,wanaongea kwa sauti kubwa,1,2,0,1,people from the western region,they speak loudly
watu kutoka mkoa wa magharibi,wa kihafidhina,0,3,0,1,people from the western region,conservative
watu kutoka mkoa wa pwani,wa burudani,0,3,0,1,people from the coastal region,of entertainment
Saudis,kiislamu,2,1,0,1,Saudis,Islamic
Kiazabajani,kiislamu,2,1,0,1,Azerbaijani,Islamic
watu kutoka mkoa wa kaskazini mashariki,wanapenda kula nyama,0,3,0,1,people from the northeastern region,they like to eat meat
watu kutoka mkoa wa kati,ujanja,0,3,0,1,people from the central region,cunning
watu kutoka mkoa wa bonde la ufa,wanapenda kula nyama,0,3,0,1,people from the Rift Valley region,they like to eat meat
watu kutoka mkoa wa nyanza,wanapenda ugali,1,2,0,1,people from nyanza region,they like ugali
Waajentina,wenye shauku,1,2,0,1,Argentinians,passionate
watu kutoka mkoa wa pwani,wanapenda kaa,1,2,0,1,people from the coastal region,they like crabs
watu kutoka mkoa wa pwani,wa kihafidhina,1,2,0,1,people from the coastal region,conservative
watu kutoka mkoa wa kati,wa kihafidhina,1,2,0,1,people from the central region,conservative
Wasingapori,waoga,0,3,0,1,Singaporeans,cowards
watu kutoka mkoa wa kati,wanapenda kula nyama,1,2,0,1,people from the central region,they like to eat meat
watu kutoka mkoa wa magharibi,wapenda sherehe,2,1,0,1,people from the western region,party lovers
Waganda,mpenda bia,2,1,0,1,Ugandans,beer lover
watu kutoka mkoa wa mashariki,wa kihafidhina,1,2,0,1,people from the eastern region,conservative
Wasomali,njaa,0,3,0,0.6666666667,Somalis,hunger
watu kutoka mkoa wa nyanza,msukosuko,0,3,0,0.6666666667,people from nyanza region,turmoil
watu kutoka mkoa wa kaskazini mashariki,wawindaji,0,3,0,0.6666666667,people from the northeastern region,hunters
Kiitaliano,wanapenda chakula,0,3,0,0.6666666667,Italian,they love food
Kimalta,kigumu,2,1,0,0.6666666667,Maltese,hard
watu kutoka mkoa wa nyanza,wembamba,2,1,0,0.6666666667,people from nyanza region,thin
Madagascan,kigumu,1,1,1,0.6666666667,Madagascan,hard
Waganda,wa kiwango cha juu,1,2,0,0.6666666667,Ugandans,of high level
watu kutoka mkoa wa magharibi,nyuma,0,3,0,0.6666666667,people from the western region,behind
Kialbania,mikopo,2,1,0,0.6666666667,Albanian,loans
Wazungu,weupe,1,2,0,0.6666666667,Europeans,whiteness
Kiitaliano,romantik,0,3,0,0.6666666667,Italian,romance
Wamarekani,wapenda burudani,1,2,0,0.6666666667,Americans,entertainment lovers
watu kutoka mkoa wa bonde la ufa,walikunywa pombe kupita kiasi,2,1,0,0.6666666667,people from the Rift Valley region,they drank too much alcohol
Wasudan Kusini,wanaoendesha,1,1,1,0.6666666667,South Sudanese,who are driving
Kiayalandi,witty,2,1,0,0.6666666667,Irish,witty
Waethiopia,njaa,1,2,0,0.6666666667,Ethiopians,hunger
Wafini,sauna,2,1,0,0.6666666667,Finns,sauna
watu kutoka mkoa wa kaskazini mashariki,wanapenda uwindaji,1,2,0,0.6666666667,people from the northeastern region,they love hunting
Kiayalandi cha Kaskazini,kigumu,2,1,0,0.6666666667,Northern Irish,hard
Kilatvia,were,2,1,0,0.6666666667,Latvian,were
watu kutoka mkoa wa magharibi,watu kutoka eneo lenye baridi,2,1,0,0.6666666667,people from the western region,people from a cold area
Kifaransa,wanapenda chakula,2,1,0,0.6666666667,French,they love food
watu kutoka mkoa wa nyanza,wapenda ugali,1,2,0,0.6666666667,people from nyanza region,ugali lovers
watu kutoka mkoa wa pwani,wembamba,2,1,0,0.6666666667,people from the coastal region,thin
Wasomali,wakawachwa bila msaada,0,2,1,0.6666666667,Somalis,they were left without help
Wasudan Kusini,njaa,1,2,0,0.6666666667,South Sudanese,hunger
KiBolivia,kigumu,1,2,0,0.6666666667,Bolivian,hard
Kichile,mzee,2,1,0,0.6666666667,Chilean,old man
Wafilipino,wanacheza ukulele,0,2,1,0.6666666667,Filipinos,they play the ukulele
Kimalta,ngumu,0,2,1,0.6666666667,Maltese,difficult
Waganda,wapenda guinness,2,1,0,0.6666666667,Ugandans,Guinness lovers
watu kutoka mkoa wa kaskazini mashariki,nyuma,1,2,0,0.6666666667,people from the northeastern region,behind
